rank	id	name_zh	sharpe	ic	fitness	turnover	max_corr_to_selected	summary_zh	mechanism_zh	risk_zh	child_factors
1	de3cc910-3898-415a-acb0-f7957af9c28d	流动性约束下的中期趋势延续	16.247	0.0463	19.659	0.418	0.0	在中期收益延续信号上叠加换手率、Amihud 非流动性与成交金额尺度控制，优先保留有趋势但不过度拥挤、仍具可交易容量的股票。	中期价格延续通常来自信息缓慢扩散、机构分批建仓和投资者反应不足。单独追逐趋势容易集中到高换手拥挤标的；流动性与容量子因子对其进行筛选，使收益来源更接近可执行的慢速信息吸收，而不是短暂追涨。	趋势行情急转、拥挤交易同步平仓或小盘流动性骤降时，收益可能明显衰减。该因子仍包含流动性风险溢价，不应把高 Sharpe 直接解释为无风险套利。	amihud_20d, log_dollar_vol, ret_20d, turnover_rate
2	ea1a3e72-f0fa-454e-b965-b6de3f4de0b8	异常成交量冲击后的流动性反转	15.316	0.032	15.328	0.4791	0.47210276716366745	识别近端换手率和异常成交量所代表的临时交易压力，再结合 Amihud 与成交金额控制，寻找压力释放后的价格回归。	被动调仓、流动性需求和非信息型大单会在短时间内推动价格偏离均衡值。若成交量异常但缺乏持续信息支持，价格冲击往往部分回吐。流动性尺度用于区分可交易的修复机会与纯粹的难交易风险。	财报、重大公告或宏观冲击期间，放量可能是新信息而非噪声；此时反转假设容易失效，甚至与基本面重估方向相反。	turnover_5d, abnormal_vol_rev, turnover_rate, amihud_20d, log_dollar_vol
3	c0e67121-8bd4-4fb0-a3de-833d17bace96	竞价压力与流动性风险的组合修复	14.02	0.0376	11.588	0.6462	0.48303483631391153	把竞价收益、换手率和 Amihud 非流动性合并，捕捉集中撮合阶段订单失衡造成的短暂偏离。	开盘或收盘竞价承接了指数调仓、被动基金和隔夜订单。集中撮合能提高价格发现效率，也会产生短时供需不平衡。该组合试图区分需要后续修复的压力与有信息含量的价格变动。	竞价机制变化、指数调仓日和事件日可能抬高尾部风险；组合换手率也相对较高，必须把冲击成本纳入独立容量测试。	turnover_rate, auction_return, amihud_20d, log_dollar_vol
4	ca6a835d-169f-425d-bafc-dc26e7d55f20	长期趋势、竞价反转与容量约束	13.698	0.0349	14.501	0.4323	0.48755479159970116	同时使用剔除近端噪声的长期趋势、竞价压力修复以及成交金额和非流动性控制，区分慢趋势与快噪声。	较长周期趋势可代表基本面信息逐步进入价格；竞价收益则更接近局部订单冲击。两者组合的经济意图是保留慢速信息延续，同时对短时价格压力进行修正。	若市场进入剧烈风格切换，长期趋势与短期反转可能同时失效；不同子信号的有效期限不同，实盘需要动态监控贡献度。	turnover_rate, auction_return, ret_120d_skip5, log_dollar_vol, amihud_20d
5	009f92ac-11d7-4365-b9ec-21472d5a4b84	多周期动量与拥挤度折价	13.459	0.0447	13.236	0.5656	0.4980399456918927	合并 20 日和跳过最近一周的 120 日趋势，再用换手率与成交金额刻画拥挤度和容量。	20 日收益更敏感，120 日跳空窗口更稳定。两个周期同时指向同一方向时，趋势更可能来自持续信息扩散；换手率折价则抑制已经被大量交易者追逐的部分。	动量崩溃、宏观拐点和快速均值回归阶段是主要风险。该因子与其他趋势类组合存在经济暴露重叠，即使全窗口相关性约束已经满足。	ret_20d, turnover_rate, ret_120d_skip5, log_dollar_vol
6	5400d6a4-33ad-47e4-b7e7-a71c792d1baa	跨期限订单流分解型混合因子	13.332	0.0313	13.193	0.4649	0.46944345751179883	将中长期趋势、5 日反转、异常成交量反转、成交量形态、Amihud 与成交金额放在同一套组合中，区分持久信息与暂时订单流。	价格变化可粗略拆成持久成分和临时成分：趋势代理偏向前者，短反转和异常成交量代理偏向后者，成交量形态与流动性指标则判断冲击是否可交易。该因子是 10 个因子中经济来源最分散的一项。	结构较复杂，解释依赖子因子代理而非严格的结构模型。若各子信号在新样本中同时衰减，复杂组合会放大估计误差。	ret_20d, volume_profile_ratio, ret_120d_skip5, abnormal_vol_rev, turnover_5d, amihud_20d, log_dollar_vol, rev_5d
7	8138a76a-00ed-46a8-9c52-decf0e2a1c3a	低拥挤中期动量桥接因子	13.141	0.0418	12.891	0.5827	0.4959417159638869	在缓存组合上显式加入 zscore(ret_20d) - zscore(turnover_rate)，偏好 20 日收益较强但换手率不过热的股票。	中期收益延续与低拥挤筛选的组合，意在寻找仍处于信息扩散阶段、尚未被高频交易需求完全挤满的趋势。显式减去换手率使经济含义比纯黑箱组合更清楚。	换手率并不总是拥挤度：在基本面信息释放时，高换手也可能是合理的价格发现。过度惩罚换手率会漏掉真实信息趋势。	ret_20d, turnover_rate
8	b72fe1ae-8309-437d-9dbb-08d0dc5beab2	日内成交形态与竞价冲击修复	12.063	0.0396	10.755	0.5954	0.43481337445750323	结合异常成交量反转、竞价收益、日内成交量形态、近端换手率与 Amihud，寻找多维订单流确认后的短期修复。	单一放量信号容易混淆信息交易和流动性交易。加入竞价与日内成交结构后，组合可以更细致地识别集中交易造成的临时价格冲击，理论上降低误判。	因子依赖微观结构稳定性。交易制度、竞价参与者或日内执行方式变化后，历史模式可能迁移；实盘交易成本也会比低换手因子更重要。	turnover_5d, abnormal_vol_rev, turnover_rate, auction_return, volume_profile_ratio, amihud_20d
9	ea867db0-03b3-44ff-b539-07b321084639	竞价与换手一致性筛选反转	11.121	0.03	7.587	0.7376	0.38336650700209396	显式项为 -rank(abs(zscore(turnover_rate) - zscore(auction_return)))：它惩罚换手率与竞价收益之间的极端差异，在基础反转组合上加入稳定性筛选。	若竞价价格变化极端但缺乏相称的交易参与，或换手异常但竞价价格并未确认，信号可能更不稳定。负的绝对差异排名项会压低这类失配暴露，保留较一致的订单流状态。	这里的显式项更准确地说是稳定性过滤器，而不是独立套利机制。该因子换手率最高，且可能在真正的信息跳跃场景中过度回避有效信号。	turnover_rate, auction_return
10	d3884de8-ea16-4605-8532-ebdb9394ed7e	基础组合增强的低拥挤中期动量	10.722	0.0372	11.102	0.434	0.48279788227702713	与第 7 项同样显式使用 zscore(ret_20d) - zscore(turnover_rate)，但连接到不同的缓存基础组合，因此保留了另一条收益来源路径。	20 日收益代理慢速趋势，换手率惩罚代理拥挤折价。不同基础组合使其与第 7 项在经济概念相近的情况下仍保留较低的实测 PnL 相关性。	该因子与第 7 项共享核心桥接项，不能仅凭全窗口相关性较低就视为完全独立。需要在未触碰留出集和实盘仿真中继续检查条件相关性。	ret_20d, turnover_rate
